Player,SO,OO,Walk,Single,Double,Triple,HR
Casas (1),0.24,0.45,0.061,0.165,0.045,0.004,0.035
Devers (2),0.24,0.45,0.061,0.165,0.045,0.004,0.035
Duran (3),0.24,0.45,0.061,0.165,0.045,0.004,0.035
Hernandez (4),0.24,0.45,0.061,0.165,0.045,0.004,0.035
Turner (5),0.24,0.45,0.061,0.165,0.045,0.004,0.035
Valdez (6),0.24,0.45,0.061,0.165,0.045,0.004,0.035
Verdugo (7),0.24,0.45,0.061,0.165,0.045,0.004,0.035
Wong (8),0.24,0.45,0.061,0.165,0.045,0.004,0.035
Yoshida (9),0.24,0.45,0.061,0.165,0.045,0.004,0.035
