Score,Lineup,score2
1.0,"['7', '8', '4', '2', '9', '10', '3', '1', '5']",4.570876602379681
7.0,"['7', '8', '4', '2', '3', '10', '9', '5', '13']",4.371846755428955
2.0,"['7', '8', '4', '2', '10', '1', '5', '6', '18']",4.1748614343695065
2.0,"['7', '8', '4', '2', '10', '3', '9', '1', '5']",4.56502006139356
4.0,"['7', '4', '3', '2', '9', '10', '5', '6', '13']",4.673301400217625
4.0,"['7', '4', '3', '2', '9', '10', '5', '1', '15']",4.659490049454362
8.0,"['7', '10', '4', '2', '3', '8', '6', '5', '1']",4.477565785630738
8.0,"['7', '10', '4', '2', '3', '8', '9', '1', '5']",4.6165734529766285
2.0,"['7', '10', '4', '2', '8', '3', '1', '5', '6']",4.510455343899663
9.0,"['7', '10', '4', '2', '9', '8', '3', '1', '15']",4.650651800249182
7.0,"['7', '10', '4', '2', '9', '8', '3', '1', '15']",4.650651800249182
1.0,"['7', '10', '4', '2', '1', '3', '8', '5', '6']",4.544507471688891
2.0,"['7', '10', '4', '2', '3', '12', '1', '5', '15']",4.731598861412813
0.0,"['7', '10', '4', '2', '8', '3', '1', '5', '6']",4.510455343899663
1.0,"['7', '4', '3', '2', '9', '1', '12', '5', '15']",4.627615302902673
2.0,"['7', '4', '3', '2', '9', '8', '5', '6', '13']",4.214586837783251
11.0,"['7', '10', '4', '2', '3', '1', '5', '6', '12']",4.9053725948887195
5.0,"['7', '10', '4', '2', '3', '1', '9', '5', '15']",4.699948713020177
2.0,"['7', '10', '4', '2', '3', '1', '5', '6', '13']",4.586092258677475
5.0,"['7', '4', '3', '2', '9', '1', '5', '6', '15']",4.4934107340545895
6.0,"['7', '6', '4', '2', '1', '3', '11', '5', '12']",4.474385524005938
1.0,"['7', '4', '3', '2', '11', '5', '6', '13', '18']",3.7631992391494062
9.0,"['7', '4', '3', '2', '9', '1', '5', '6', '12']",4.8110189778093115
1.0,"['7', '11', '4', '2', '10', '3', '6', '1', '18']",4.271017750288109
2.0,"['7', '4', '3', '2', '9', '12', '6', '5', '13']",4.641832787490325
5.0,"['7', '4', '2', '10', '3', '6', '11', '5', '1']",4.457269169546409
6.0,"['7', '4', '2', '10', '3', '6', '1', '11', '18']",4.328481295156141
5.0,"['7', '4', '3', '2', '9', '6', '5', '13', '18']",4.0785396996281715
6.0,"['3', '1', '4', '2', '5', '11', '12', '14', '18']",3.8474681139538545
0.0,"['3', '1', '4', '2', '11', '5', '20', '14', '18']",3.475482970257781
2.0,"['3', '12', '4', '2', '5', '11', '13', '14', '20']",3.760814035689149
3.0,"['7', '1', '4', '2', '3', '8', '5', '11', '14']",4.000152162651757
3.0,"['7', '4', '3', '2', '9', '8', '5', '1', '12']",4.502626683479125
0.0,"['3', '4', '2', '12', '13', '11', '5', '18', '14']",3.7200572896914044
11.0,"['7', '1', '4', '2', '11', '3', '18', '14', '20']",3.7749999701992216
2.0,"['7', '3', '4', '2', '9', '22', '11', '13', '14']",3.6961262213202177
