Score,Lineup,score2
2.0,"['3', '4', '14', '9', '8', '5', '6', '13', '7']",5.63970917917012
6.0,"['3', '2', '4', '5', '11', '10', '6', '1', '7']",4.8296832629644575
1.0,"['3', '14', '8', '4', '10', '2', '6', '11', '13']",5.292501317200636
2.0,"['3', '4', '14', '9', '8', '5', '6', '1', '7']",5.186431242752868
0.0,"['2', '9', '5', '11', '10', '14', '1', '7', '6']",4.592378403295316
8.0,"['4', '3', '9', '14', '5', '8', '13', '10', '6']",5.792688658905858
1.0,"['4', '3', '9', '14', '5', '8', '1', '6', '7']",5.253490789550287
1.0,"['4', '2', '9', '11', '10', '13', '17', '7', '14']",4.2599537504307925
8.0,"['4', '2', '9', '11', '10', '17', '1', '7', '8']",3.8836188640807157
9.0,"['4', '2', '9', '14', '8', '17', '10', '1', '7']",4.073218500550513
5.0,"['4', '3', '9', '14', '8', '2', '10', '6', '13']",5.4558141037283505
1.0,"['4', '2', '9', '11', '10', '17', '1', '8', '7']",3.892768920286286
2.0,"['4', '3', '9', '2', '8', '13', '11', '6', '7']",5.231297582407098
2.0,"['4', '3', '9', '14', '2', '8', '1', '6', '7']",4.9147420658684355
5.0,"['4', '2', '9', '11', '10', '14', '1', '7', '8']",4.267220714911869
10.0,"['4', '2', '9', '8', '11', '10', '13', '7', '6']",4.819768786031357
5.0,"['4', '2', '9', '11', '10', '8', '1', '7', '14']",4.277483570532979
6.0,"['4', '3', '9', '14', '2', '8', '13', '6', '7']",5.4074560037888
10.0,"['4', '3', '14', '8', '15', '10', '11', '6', '1']",5.168432629106965
6.0,"['4', '3', '14', '8', '15', '10', '11', '6', '13']",5.621536952053361
0.0,"['3', '14', '2', '15', '9', '10', '6', '11', '1']",4.999913023656238
9.0,"['4', '3', '14', '8', '15', '9', '2', '13', '7']",5.544533727357134
3.0,"['4', '3', '14', '8', '15', '9', '11', '1', '7']",4.996065109957645
5.0,"['4', '3', '14', '2', '8', '9', '15', '13', '7']",5.502953152366637
4.0,"['4', '3', '14', '8', '15', '10', '16', '1', '6']",5.337423487590308
7.0,"['4', '3', '14', '8', '15', '10', '16', '13', '6']",5.825406703133103
7.0,"['4', '3', '8', '15', '10', '16', '11', '6', '1']",5.171731517926325
5.0,"['4', '3', '14', '8', '12', '15', '10', '13', '6']",5.869615200526807
7.0,"['4', '3', '14', '8', '12', '9', '15', '1', '10']",5.235928928496142
1.0,"['4', '2', '9', '11', '12', '10', '1', '7', '15']",4.4089776462078945
3.0,"['4', '3', '8', '9', '12', '15', '13', '6', '7']",5.734208819427355
3.0,"['4', '3', '12', '8', '11', '15', '1', '6', '7']",5.1337352150593425
5.0,"['4', '11', '2', '12', '3', '13', '10', '7', '15']",5.2475137981419655
3.0,"['4', '3', '12', '8', '15', '10', '1', '6', '7']",5.225032059959071
12.0,"['3', '12', '8', '4', '15', '10', '13', '6', '7']",5.626215439104538
5.0,"['3', '4', '8', '2', '15', '13', '1', '10', '7']",5.046774220447476
9.0,"['2', '12', '4', '8', '13', '11', '10', '19', '7']",4.741367010322985
0.0,"['2', '12', '4', '19', '10', '11', '15', '1', '7']",4.364585462578508
5.0,"['3', '12', '8', '4', '15', '10', '13', '6', '11']",5.61967078641244
0.0,"['3', '12', '4', '8', '13', '15', '10', '6', '1']",5.451281881903183
2.0,"['10', '19', '4', '13', '12', '8', '11', '7', '6']",4.895484228215963
8.0,"['3', '12', '4', '8', '13', '15', '1', '6', '7']",5.370263225627521
3.0,"['2', '12', '19', '13', '1', '15', '11', '7', '3']",4.915141003116372
5.0,"['12', '8', '5', '4', '15', '13', '2', '6', '7']",5.625691019782851
7.0,"['3', '12', '8', '5', '15', '2', '1', '6', '11']",5.496248186364748
5.0,"['3', '5', '8', '4', '12', '15', '2', '1', '7']",5.332281682012173
4.0,"['3', '12', '4', '8', '5', '2', '6', '1', '7']",5.226037210590759
2.0,"['19', '2', '4', '12', '3', '5', '13', '15', '7']",5.700394710758672
3.0,"['2', '12', '19', '4', '5', '11', '1', '15', '7']",4.680925226598657
7.0,"['3', '2', '4', '5', '8', '13', '11', '19', '7']",5.2822650617856315
7.0,"['2', '12', '19', '4', '5', '8', '11', '1', '7']",4.610005316626349
12.0,"['3', '12', '4', '8', '5', '15', '13', '6', '2']",6.087892523865377
2.0,"['3', '12', '8', '4', '15', '5', '2', '6', '1']",5.579014823033014
7.0,"['2', '12', '19', '4', '5', '13', '11', '15', '7']",5.164797751789485
10.0,"['3', '5', '8', '4', '12', '13', '15', '2', '7']",5.835955476515105
2.0,"['3', '12', '8', '4', '15', '5', '1', '6', '7']",5.46993603265099
2.0,"['3', '12', '4', '8', '5', '15', '13', '2', '6']",6.081027818111608
5.0,"['3', '12', '5', '8', '4', '15', '20', '1', '6']",5.0286587647027945
9.0,"['2', '12', '5', '4', '19', '11', '13', '15', '7']",5.166391527326073
5.0,"['3', '12', '5', '8', '4', '15', '20', '1', '6']",5.0286587647027945
20.0,"['3', '12', '5', '8', '4', '2', '15', '13', '10']",5.926223858220076
8.0,"['3', '12', '5', '8', '4', '2', '15', '1', '10']",5.416620147518748
1.0,"['3', '12', '5', '8', '4', '15', '10', '13', '20']",5.323512720919151
5.0,"['3', '12', '5', '8', '4', '14', '1', '15', '10']",5.478259201643907
8.0,"['2', '12', '5', '4', '19', '11', '13', '15', '10']",5.225297215673553
0.0,"['3', '14', '5', '8', '4', '15', '2', '1', '10']",5.365048847186531
4.0,"['3', '14', '5', '8', '4', '10', '2', '13', '20']",5.012107352697619
3.0,"['3', '5', '2', '8', '4', '10', '15', '11', '1']",5.174502689882293
4.0,"['3', '12', '5', '8', '14', '13', '10', '15', '11']",5.911884551160892
10.0,"['3', '12', '8', '5', '14', '10', '15', '11', '1']",5.411428071463804
10.0,"['3', '5', '14', '8', '4', '10', '15', '13', '11']",5.746575688413756
6.0,"['3', '12', '5', '8', '4', '14', '10', '15', '1']",5.486657770467929
4.0,"['3', '12', '10', '5', '4', '15', '20', '13', '11']",5.047581717238855
3.0,"['3', '12', '5', '8', '4', '14', '15', '1', '7']",5.4196431433222365
7.0,"['3', '12', '5', '8', '10', '14', '13', '15', '11']",5.909200556005163
5.0,"['3', '12', '2', '8', '10', '11', '20', '1', '7']",4.130296879115588
8.0,"['2', '12', '13', '8', '10', '11', '3', '7', '15']",5.403575856251735
0.0,"['20', '2', '3', '11', '7', '15', '1', '16', '19']",4.235903172174404
9.0,"['3', '12', '8', '14', '15', '11', '13', '16', '7']",5.584486768219559
11.0,"['3', '12', '2', '8', '14', '11', '15', '1', '7']",5.001462629190075
6.0,"['3', '12', '2', '8', '15', '13', '10', '11', '1']",5.234638915757159
1.0,"['3', '10', '2', '14', '15', '13', '16', '11', '7']",5.289035445139613
7.0,"['2', '12', '19', '13', '11', '10', '8', '1', '7']",4.4980101678777995
14.0,"['3', '10', '14', '8', '2', '15', '16', '1', '7']",5.034576066236296
2.0,"['2', '19', '11', '8', '13', '3', '10', '14', '15']",5.377179983012343
,[],0.0
,"['16', '19', '3', '12', '13', '18', '16', '18', '14']",4.33552995664703
