Score,Lineup,score2
1.0,"['3', '9', '6', '8', '11', '10', '4', '1', '17']",3.871173333809178
4.0,"['3', '9', '6', '8', '11', '2', '4', '12', '10']",3.9612731488267814
2.0,"['3', '11', '6', '8', '2', '10', '1', '21', '17']",3.236800989308313
10.0,"['3', '9', '6', '7', '11', '5', '8', '12', '4']",3.8352627128998735
6.0,"['3', '9', '6', '7', '11', '5', '4', '1', '17']",3.5871892049054424
2.0,"['3', '9', '6', '7', '5', '4', '10', '8', '1']",3.7691650718480982
4.0,"['3', '9', '6', '7', '11', '4', '10', '8', '12']",4.112141158020826
0.0,"['3', '9', '6', '7', '11', '2', '4', '5', '1']",3.5686354484466594
3.0,"['3', '9', '7', '11', '8', '4', '5', '17', '12']",3.801619208222572
5.0,"['3', '9', '6', '8', '11', '5', '4', '1', '17']",3.6203602878647794
15.0,"['3', '9', '6', '8', '11', '5', '4', '1', '17']",3.6203602878647794
10.0,"['3', '9', '6', '11', '2', '5', '19', '12', '10']",3.680304013381791
0.0,"['3', '9', '6', '8', '11', '4', '5', '19', '1']",3.51214649605612
3.0,"['3', '9', '6', '8', '11', '5', '4', '12', '19']",3.5856489845446955
5.0,"['6', '9', '11', '2', '5', '10', '19', '1', '13']",3.437595925253273
7.0,"['3', '9', '6', '8', '11', '5', '4', '1', '19']",3.5093271792806817
2.0,"['3', '9', '6', '8', '11', '5', '4', '12', '19']",3.5856489845446955
5.0,"['3', '9', '6', '8', '2', '5', '4', '1', '19']",3.4159073706302236
4.0,"['3', '9', '11', '2', '6', '5', '4', '12', '19']",3.3543090755384775
4.0,"['3', '9', '11', '8', '6', '5', '4', '1', '19']",3.4969667702078344
2.0,"['3', '9', '11', '6', '2', '5', '19', '10', '12']",3.665929952040087
4.0,"['3', '9', '6', '8', '2', '10', '4', '19', '12']",3.7627597974321354
1.0,"['3', '9', '11', '8', '6', '5', '4', '1', '19']",3.4969667702078344
3.0,"['3', '9', '11', '8', '6', '5', '4', '12', '10']",3.782347936760589
3.0,"['3', '9', '6', '2', '5', '10', '8', '19', '1']",3.704020328736669
1.0,"['3', '9', '11', '8', '6', '5', '4', '12', '10']",3.782347936760589
7.0,"['3', '9', '6', '8', '2', '4', '10', '12', '19']",3.7607409114946355
6.0,"['3', '9', '6', '8', '2', '10', '4', '5', '1']",3.6110161535881344
0.0,"['3', '9', '6', '11', '10', '4', '5', '12', '19']",3.4529174136613108
8.0,"['3', '6', '11', '10', '16', '2', '5', '1', '13']",3.1857175011378067
2.0,"['3', '9', '6', '7', '11', '10', '4', '5', '1']",3.6500031914988798
1.0,"['3', '9', '6', '16', '8', '10', '2', '4', '12']",3.6584245861878033
9.0,"['3', '9', '14', '7', '16', '15', '8', '4', '1']",4.102721278143824
2.0,"['3', '9', '14', '7', '15', '6', '8', '4', '12']",4.466833879524877
2.0,"['3', '9', '14', '6', '16', '15', '10', '2', '1']",4.114720757752199
8.0,"['3', '9', '14', '7', '6', '10', '8', '1', '4']",4.252687744409703
0.0,"['3', '9', '14', '6', '15', '16', '2', '10', '12']",4.2307800319339925
2.0,"['10', '9', '14', '6', '15', '16', '2', '1', '4']",3.703010766921971
3.0,"['9', '3', '14', '7', '6', '8', '15', '4', '1']",4.351217564095134
5.0,"['9', '3', '14', '7', '6', '16', '15', '12', '10']",4.363775213405796
4.0,"['9', '3', '14', '7', '6', '8', '15', '4', '1']",4.351217564095134
3.0,"['7', '14', '3', '6', '15', '8', '2', '4', '12']",4.042903870263096
8.0,"['7', '14', '3', '6', '15', '8', '2', '4', '12']",4.042903870263096
5.0,"['6', '9', '3', '14', '15', '2', '16', '1', '10']",4.152797063109523
5.0,"['9', '3', '14', '7', '15', '6', '8', '12', '4']",4.440046343331092
5.0,"['9', '3', '14', '7', '15', '6', '8', '1', '10']",4.7037626559659005
11.0,"['9', '3', '14', '7', '15', '6', '8', '12', '4']",4.440046343331092
1.0,"['9', '3', '14', '7', '15', '6', '8', '12', '4']",4.440046343331092
1.0,"['9', '3', '14', '15', '2', '7', '16', '1', '10']",4.227170204268255
2.0,"['9', '3', '14', '7', '15', '6', '8', '4', '1']",4.352338475075175
3.0,"['9', '3', '14', '15', '16', '7', '2', '1', '10']",4.215674564167368
0.0,"['9', '3', '14', '7', '15', '6', '8', '4', '12']",4.446706459338355
4.0,"['7', '9', '3', '14', '15', '6', '8', '1', '10']",4.717838613683673
2.0,"['7', '9', '3', '14', '15', '6', '8', '4', '12']",4.4660142070727336
2.0,"['3', '9', '14', '7', '15', '6', '8', '12', '10']",4.826673081075967
2.0,"['3', '9', '14', '7', '15', '6', '2', '12', '10']",4.619541002487169
0.0,"['3', '14', '15', '7', '6', '8', '2', '4', '1']",3.962404218592139
6.0,"['3', '14', '15', '7', '6', '8', '13', '4', '1']",4.060316241243546
8.0,"['3', '14', '15', '7', '6', '8', '13', '4', '12']",4.154151987258311
